"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,, 
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions 
,,Canadian Nuclear Laboratories Ltd.,"Chalk River, ON K0J 1J0",2111-Physicists and astronomers,1
,,,,2112-Chemists,1
,,Canadian Pie Inc.,"ETOBICOKE, ON M9V 3Y7",2174-Computer programmers and interactive media developers,1
,,,,2282-User support technicians,2
,,Canadian Students Communities Inc,"TORONTO, ON M5E 1W1",0632-Accommodation service managers,1
,,Canadian Systems Inc.,"Etobicoke, ON M9W 0B5",2281-Computer network technicians,1
,,Canadian Thoroughbred Horse Society (Ont.Div),"ETOBICOKE, ON M9W 5L1",5231-Announcers and other broadcasters,1
,,,,6411-Sales and account representatives - wholesale trade (non-technical),1
,,Carleton University,"OTTAWA, ON K1S 5B6",4011-University professors and lecturers,2
,,Carmel Transport International Ltd,"CONCORD, ON L4K 5V4",0111-Financial managers,1
,,,,1221-Administrative officers,1
,,CENTRAL IRRIGATION SUPPLY OF CANADA INC.,"Mississauga, ON L5T 2A7",2225-Landscape and horticulture technicians and specialists,1
,,CG Needle Arts Ltd.,"BRAMPTON, ON L6T 4Z6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Children's Hospital Of Eastern Ontario,"Ottawa, ON K1H 8L1",3111-Specialist physicians,1
,,Chubb Insurance Company of Canada,"TORONTO, ON M5L 1E2",1313-Insurance underwriters,1
,,CIA Inspection Inc,"Hannon, ON L0R 1P0",2132-Mechanical engineers,1
,,Circle Productions Ltd,"TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",1
,,Commercial Spring & Tool Company Limited,"Mississauga, ON L4Z 1R1",7232-Tool and die makers,1
,,Commerical Two Construction Inc.,"Etobicoke, ON M9W 5N6",7281-Bricklayers,2
,,Conforti Holdings Ltd./Tonyc Salon & Spa,"ETOBICOKE, ON M9C 1B8",4021-College and other vocational instructors,1
,,Connex Trading Company Ltd,"THORNHILL, ON L4J 9J3",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Connextions Ltd.,"MILTON, ON L9T 3J2",7247-Cable television service and maintenance technicians,1
,,Cordoba Coffee Limited,"ETOBICOKE, ON M9V 3Y6",7333-Electrical mechanics,1
,,CS Wellness Centre Inc.,"THORNHILL, ON L4J 4P8","0014-Senior managers - health, education, social and community services and membership organizations",1
,,CWC Immigration Solutions Inc.,"BRAMPTON, ON L6T 4L6",1221-Administrative officers,1
,,Cypruss Contracting Inc.,"Brampton, ON L6T 3Y3",7271-Carpenters,2
,,D&D Custom Steel Products Ltd.,"Stoney Creek, ON L8E 3P3",7231-Machinists and machining and tooling inspectors,3
,,Daas-360Cloud Inc.,"OAKVILLE, ON L6J 7W5","0013-Senior managers - financial, communications and other business services",1
,,Das Groups Inc.,"SAULT STE. MARIE, ON P6A 1X1",1221-Administrative officers,1
,,David Weenen Design Build Inc.,"TORONTO, ON M4V 1A1",7271-Carpenters,1
,,Davis Controls Limited,"Oakville, ON L6H 5R3",2133-Electrical and electronics engineers,1
,,Dazz Construction Inc.,"ETOBICOKE, ON M8V 2E8",7282-Concrete finishers,1
,,De Mello Palheta Coffee Roastery Inc,"Toronto, ON M6B 3Z4","1123-Professional occupations in advertising, marketing and public relations",1
,,Deloitte Inc.,"TORONTO, ON M5H 0A9",0125-Other business services managers,1
,,,,2171-Information systems analysts and consultants,1
,,Deloitte LLP,"TORONTO, ON M5H 0A9",0111-Financial managers,1
,,,,0213-Computer and information systems managers,1
,,DGI Canada Inc.,"KING CITY, ON L7B 1C4",5241-Graphic designers and illustrators,1
,,Dhanoa Group Ltd.O/A A&W,"Mississauga, ON L5W 1T2",1221-Administrative officers,1
,,,,2281-Computer network technicians,1
,,DHG 10 Inc,"Mississauga, ON L5W 1T2",6322-Cooks,1
,,Digital Extremes Ltd.,"London, ON N6A 6K2",5241-Graphic designers and illustrators,1
,,DKSTUDIO ARCHITECHS INC.,"TORONTO, ON M5M 1W9",5242-Interior designers and interior decorators,1
,,Doaba Sweets and Snacks Inc.,"BRAMPTON, ON L6Y 2R2",6311-Food service supervisors,1
,,,,6321-Chefs,1
,,Dr Lorena Barrientos Medicine Professional Corporation,"TORONTO, ON M4X 1W4",3112-General practitioners and family physicians,1
,,Dragados Canada Inc.,"Toronto, ON M5H 1J9",0711-Construction managers,1
,,Dream Home Realty Inc.,"MARKHAM, ON L3R 2N7","1123-Professional occupations in advertising, marketing and public relations",1
,,Dream Party Decor Inc.,"MISSISSAUGA, ON L4W 4L4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Dundas Flowers and Gifts,"LONDON, ON N6B 1W1",6421-Retail salespersons,1
,,DURABLE PERSONNEL SOLUTIONS INC.,"BRAMPTON, ON L6T 4L2",1241-Administrative assistants,1
,,DYNAMO ELECTRIC MOTORS INC.,"KITCHENER, ON N2R 1G4",7333-Electrical mechanics,1
,,Dynamo Gymnastics Inc.,"CAMBRIDGE, ON N3C 0A5",5134-Dancers,1
,,Eddy Lee's (Thunder Bay) Inc.,"Thunder Bay, ON P7B 1K3",6322-Cooks,2
,,Elephant Dental Studio inc.,"TORONTO, ON M4P 1L7","3223-Dental technologists, technicians and laboratory assistants",1
,,Elite Model Management Toronto Inc,"Toronto, ON M5A 1V2","5232-Other performers, n.e.c.",6
,,Empipe Solutions Ltd.,"Hannon, ON L0R 1P0",5222-Film and video camera operators,1
,,ENGREEN HOME LTD.,"Richmond Hill, ON L4E 0S9",1221-Administrative officers,1
,,Eonca Corporation,"Mississauga, ON L4V 1X9",6222-Retail and wholesale buyers,1
,,Erie Shore Healthcare,"Leamington, ON N8H 1N9",3111-Specialist physicians,1
,,Everest Traders Inc.,"Mississauga, ON L4T 0A5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Exco Technologies Limited,"CONCORD, ON L4K 2L7",7231-Machinists and machining and tooling inspectors,1
,,Extreme Insulation Ltd.,"BALLINAFAD, ON N0B 1H0","7284-Plasterers, drywall installers and finishers and lathers",1
,,Familycare Health Network Inc.,"TORONTO, ON M1J 3M5",3112-General practitioners and family physicians,1
,,FC Locksmiths Ltd.,"CONCORD, ON L4K 0A8","7384-Other trades and related occupations, n.e.c.",1
,,Fiera Food Company,"Toronto, ON M9M 2X5",2232-Mechanical engineering technologists and technicians,1
,,,,7311-Construction millwrights and industrial mechanics,4
,,Fine Cotton Factory Inc.,"Toronto, ON M1X 1C2","9217-Supervisors, textile, fabric, fur and leather products processing and manufacturing",1
,,Floortrends Ltd,"PETERBOROUGH, ON K9J 5Y3",7283-Tilesetters,2
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Sheet metal workers,5
,,,,7291-Roofers and shinglers,7
,,,,7292-Glaziers,3
,,Foodticket Canada Inc.,"Toronto, ON M8Z 6A3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Forever Precious Tile & Marble Corp.,"Toronto, ON M6L 1G3",7283-Tilesetters,1
,,Frank Content Inc.,"Toronto, ON M5V 2M9","5131-Producers, directors, choreographers and related occupations",2
,,Frankor Capital Corporation,"Cambridge, ON N3H 2H6",7232-Tool and die makers,2
,,Futura Workwear Safety & Technology Inc,"BOLTON, ON L7E 1E4","0016-Senior managers - construction, transportation, production and utilities",1
,,G.J. Czarnota Medicine Professional Corporation,"TORONTO, ON M4N 3M5",3111-Specialist physicians,1
,,G.N. Gear & Machine Manufacturing Ltd,"Mississauga, ON L5T 2B8",6211-Retail sales supervisors,1
,,Gem Dental Studio,"Sarnia, ON N7T 5W3","3223-Dental technologists, technicians and laboratory assistants",1
,,Gemterra Developments Corporation,"MARKHAM, ON L3R 0N3","1211-Supervisors, general office and administrative support workers",1
,,GFL Environmental Inc.,"Vaughan, ON L4K 0H9","7252-Steamfitters, pipefitters and sprinkler system installers",1
,,,,7311-Construction millwrights and industrial mechanics,1
,,Gilead 3 Productions Inc.,"TORONTO, ON M8Z 5Z4",1241-Administrative assistants,1
,,Giro Restaurant Inc,"CONCORD, ON L4K 0E7",6321-Chefs,1
,,Glasvan Trailers Inc.,"MISSISSAUGA, ON L4W 1B3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Glen-Merritt Collision Ltd.,"ST. CATHERINES, ON L2S 0B6",7322-Motor vehicle body repairers,1
,,Global Tax Services Inc.,"THORNHILL, ON L3T 0C7",1311-Accounting technicians and bookkeepers,1
,,GOGO Auto Services Inc.,"SCARBOROUGH, ON M1S 3V6",7322-Motor vehicle body repairers,1
,,Goral Carpentry Inc.,"Mississauga, ON L5B 1A8",7271-Carpenters,1
,,Grand Vista Contruction Inc.,"BRADFORD, ON L3Z 2A6",7281-Bricklayers,1
,,Green Oil Inc.,"Toronto, ON M3J 2B9","0016-Senior managers - construction, transportation, production and utilities",1
,,Hakka Wow Inc.,"Toronto, ON M4L 1Z7",6321-Chefs,2
,,Haliburton Forest and Wild Life Reserve Ltd.,"Haliburton, ON K0M 1S0","6313-Accommodation, travel, tourism and related services supervisors",1
,,Hanen Early Language Program,"Toronto, ON M5S 2B1","4166-Education policy researchers, consultants and program officers",1
,,Hard Rock Animal Hospital,"TIMMINS, ON P4N 1B9",3114-Veterinarians,1
,,Harman Investments Ltd. Harman Imports,"Mississauga, ON L5T 2V5","1211-Supervisors, general office and administrative support workers",1
,,Haya Solutions Inc.,"MISSISSAUGA, ON L5B 3C3",2173-Software engineers and designers,1
,,Heligear Canada Acquisition Corporation,"Tecumseh, ON N8N 2L9",7231-Machinists and machining and tooling inspectors,6
,,Holiday Films Inc.,"TORONTO, ON M5A 4J5","5131-Producers, directors, choreographers and related occupations",2
,,Holstein Association of Canada,"Brantford, ON N3T 5R4",2221-Biological technologists and technicians,1
,,"Holt, Renfrew & Co., Limited","Toronto, ON M4W 3B8","6561-Image, social and other personal consultants",1
,,"Home Legend Realty Inc., Brokerage","RICHMOND HILL, ON L4B 2N7","0013-Senior managers - financial, communications and other business services",1
,,Homequity Bank,"TORONTO, ON M4S 3C4",1122-Professional occupations in business management consulting,1
,,Horizon Sheet Metal LTD.,"ETOBICOKE, ON M8Z 5K7",7233-Sheet metal workers,1
,,HQ 7 Prince Productions Inc.,"NEWMARKET, ON L3Y 4B1",5135-Actors and comedians,1
,,HQ 8 Storm Productions Inc.,"NEWMARKET, ON L3Y 4B1",5135-Actors and comedians,2
,,HQ9 A Very Country Wedding Inc,"NEWMARKET, ON L3Y 4B1",5135-Actors and comedians,2
,,HT Efficiency Inc.,"Concord, ON L4K 1N2",4163-Business development officers and marketing researchers and consultants,1
,,Husain Holdings Inc,"Brampton, ON L6W 3J9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
,,Ideal Developments Inc.,"Markham, ON L3R 8C3","0124-Advertising, marketing and public relations managers",1
,,"ifb Canada Management Consulting, Inc.","Toronto, ON M5G 1Z3",2171-Information systems analysts and consultants,1
,,IMS Infrastructure Management Services Ltd.,"Cambridge, ON N1S 2N8",2254-Land survey technologists and technicians,1
,,Ingratta Cement & Drainage Inc,"MAIDSTONE, ON N0R 1K0",7282-Concrete finishers,1
,,Inkas Safe Manufacturing Ltd,"Toronto, ON M9L 2Y4",1122-Professional occupations in business management consulting,1
,,,,7237-Welders and related machine operators,1
,,Integrated Road Services Inc.,"OTTAWA, ON K2C 3C9","0013-Senior managers - financial, communications and other business services",1
,,International Language Academy Of Canada,"Toronto, ON M4W 3C7",5123-Journalists,1
,,Iron Horse Farms Inc.,"CALDEON, ON L0P 1N0",3114-Veterinarians,1
,,,,"7384-Other trades and related occupations, n.e.c.",1
,,IT Trailblazers Inc.,"Toronto, ON M9W 6S9",2171-Information systems analysts and consultants,1
,,iTeck Roofing Inc.,"MISSISSAUGA, ON L5T 1K4",7291-Roofers and shinglers,1
,,Itelligence Business Solutions Canada Inc.,"TORONTO, ON M2N 6L9",2171-Information systems analysts and consultants,1
,,Itstyle Furniture,"TORONTO, ON M5A 1K8",0621-Retail and wholesale trade managers,1
,,J. Obomighie Medicine Professional Corporation,"Courtice, ON L1E 3A2",3112-General practitioners and family physicians,1
,,Jacco Tours (Ontario) Inc.,"Markham, ON L3R 5P1",4163-Business development officers and marketing researchers and consultants,1
,,Jagir Contracting Inc.,"Brampton, ON L6S 5P6",7235-Structural metal and platework fabricators and fitters,2
,,,,7271-Carpenters,3
,,,,7281-Bricklayers,2
,,,,7371-Crane operators,2
,,JC Bakker & Sons Ltd,"St Catharines, ON L2R 6P9",2225-Landscape and horticulture technicians and specialists,1
,,Jehovah Jireh Gas Station Inc.,"PORT COLBORNE, ON L3K 2P8",0621-Retail and wholesale trade managers,1
,,Johnson Playfair Inc,"Toronto, ON M4M 2L3",7281-Bricklayers,1
,,JTAA FASHION DESIGN LTD.,"TORONTO, ON M4S 2C6",5241-Graphic designers and illustrators,1
,,K.C. Badminton Club Inc.,"Markham, ON L3R 5B2","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Kabir Trucking Inc.,"Brampton, ON L6Y 2X7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,KBE Information Security Inc.,"TORONTO, ON M8X 2W4",0213-Computer and information systems managers,1
,,KCC Chooka Cabinet Ltd.,"North York, ON M3J 1Z9",2175-Web designers and developers,1
,,Kitchen & Bath Inc.,"Oakville, ON L6H 6A2","0124-Advertising, marketing and public relations managers",1
,,KLC Financial Corporation,"MARKHAM, ON L3R 8B5","1212-Supervisors, finance and insurance office workers",1
,,Lakeside Produce Inc.,"Leamington, ON N8H 3V5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Lamko Tool and Mold Inc.,"London, ON N6E 2T3",2232-Mechanical engineering technologists and technicians,3
,,Lang Management,"Etobicoke, ON M8Z 0B9","5232-Other performers, n.e.c.",2
,,Leemehta Health Corporation Inc.,"MISSISSAUGA, ON L5B 2V1",3112-General practitioners and family physicians,1
,,Lenard Enterprises Inc.,"RICHMOND HILL, ON L4B 3H6",2241-Electrical and electronics engineering technologists and technicians,1
,,Leon's Auto Body Inc.,"North York, ON M3J 2B7",7322-Motor vehicle body repairers,1
,,"Li Yang Insurance and Financial Services, Inc.","Scarborough, ON M1S 1S6",6314-Customer and information services supervisors,1
,,LIBURDI ENGINEERING LTD,"DUNDAS, ON L9H 7K4",2175-Web designers and developers,1
,,Limen Access Scaffold Corp.,"Toronto, ON M3J 1Z9",7271-Carpenters,4
,,Limen Concrete Finishing Corp.,"Toronto, ON M3J 1Z9",7271-Carpenters,4
,,Linnovative Solutions Inc,"SUDBURY, ON L3R 9V1",2174-Computer programmers and interactive media developers,1
,,Lirioplan Construction Ltd.,"CAMBRIDGE, ON N1R 5S3",7283-Tilesetters,1
,,LONDON ANTIOCH KOREAN CHURCH,"LONDON, ON N6A 3L4",4154-Professional occupations in religion,1
,,London Health Sciences Centre,"London, ON N6A 5W9",3111-Specialist physicians,2
,,Lovely Imports and Retails Ltd.,"North York, ON M3M 1A5",6211-Retail sales supervisors,2
,,LPG Pro Experts Inc.,"MISSISSAUGA, ON L5J 1K7",6221-Technical sales specialists - wholesale trade,1
,,Lucky Supply Inc.,"ETOBICOKE, ON M8Z 1J5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Lusitania Concrete Forming Inc.,"Puslinch, ON N0B 2J0",7282-Concrete finishers,1
,,M Squared Contracting Inc.,"Toronto, ON M6N 4J8",7271-Carpenters,1
,,Magnum Masonry Contracting Ltd.,"Toronto, ON M9M 2M6",7281-Bricklayers,1
,,Mann Machines & Hydraulic Ltd,"Brampton, ON L6T 4J2",7237-Welders and related machine operators,1
,,Maple Leaf Sports & Entertainment Partnership,"Toronto, ON M5J 2L2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Marchi Construction Incorporated,"RICHMOND HILL, ON L4E 3W1",7271-Carpenters,1
,,Mar-Tec Woodworking Ltd,"MISSISSAUGA, ON L5T 2G9",7272-Cabinetmakers,7
,,Masonry Medics Inc.,"Mississauga, ON L5G 2K7",7281-Bricklayers,1
,,Master King Roofing Inc.,"ETOBICOKE, ON M8Z 2X1",7291-Roofers and shinglers,1
,,Max Electrical & Fire Protection Ltd.,"RICHMOND HILL, ON L4B 1G2",2234-Construction estimators,1
,,MCI Medical Clinics Inc.,"TORONTO, ON M6A 3A1",3112-General practitioners and family physicians,1
,,"MCI Toronto Operations Corp, DBA: Zebu Steak+Bar","TORONTO, ON M5V 2E3",6322-Cooks,4
,,Medeiros Brampton Construction Limited,"BRAMPTON, ON L6Y 3V1",7281-Bricklayers,2
,,Mekker Construction Ltd. O/A Zero Defects,"TORONTO, ON M3J 3J1",7281-Bricklayers,3
,,Metalink Canada Corporation,"TORONTO, ON M6K 1X9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Metropolitan Movers Inc.,"Vaughan, ON L4K 2T8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,MHI Canada Aerospace Inc.,"MISSISSAUGA, ON L4V 1S1",7315-Aircraft mechanics and aircraft inspectors,12
,,Mid-Ontario Diesel Limited,"MAPLE, ON L6A 4R6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",8
,,MiQ Digital Canada Inc.,"TORONTO, ON M5V 1X9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,MK Electrical & Construction Inc.,"BRAMPTON, ON L6R 0M6",2241-Electrical and electronics engineering technologists and technicians,1
,,Moliceiro Restaurant,"TORONTO, ON M6J 2Z8",6321-Chefs,1
,,Momin Investments Service Inc.,"Mississauga, ON L5A 2H4",1311-Accounting technicians and bookkeepers,1
,,Mountain Province Diamonds Inc.,"TORONTO, ON M5J 2S1","0016-Senior managers - construction, transportation, production and utilities",1
,,Mozzaz Corporation,"WATERLOO, ON N2L 3L3","0013-Senior managers - financial, communications and other business services",1
