"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,, 
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Approved Positions 
,,Ferme Onésime Pouliot Inc.,"St-Jean-de-l'Île-d'Orléans, QC G0A 3W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,225
,,Ferme P. & M. Champagne inc.,"St-Bernard, QC G0S 2G0",8431-General farm workers,1
,,Ferme P.E. Toupin & Fils Inc,"Saint-Jean-Sur-Richelieu, QC J2Y 1J5",8431-General farm workers,1
,,Ferme Parile Inc.,"SAINT-FRANÇOIS-DE-LA-RIVIÈRE-DU-SUD, QC G0R 3A",8431-General farm workers,1
,,Ferme Patro-De Inc.,"Saint-Flavien, QC G0S 2M0",8431-General farm workers,2
,,Ferme Paul Massicotte & Fils Inc.(Massibec),"Champlain, QC G0X 1C0",8431-General farm workers,1
,,FERME PER-BEAU LAIT S.E.N.C.,"LAMBTON, QC G0M 1H0",8431-General farm workers,1
,,Ferme Petits Délices SENC,"Pierreville, QC J0G 1J0",8431-General farm workers,6
,,Ferme Pier-Lis inc.,"Laurierville, QC G0S 1P0",8431-General farm workers,1
,,FERME PIERRE MARQUIS INC.,"SAINT-GERVAIS, QC G0R 3C0",8431-General farm workers,1
,,Ferme Pinardeau inc.,"ROQUEMAURE, QC J0Z 3K0",8431-General farm workers,1
,,Ferme Porcine Alco inc,"JOLY, QC G0S 1M0",8431-General farm workers,1
,,Ferme Porcine Bellevue inc.,"Ayer's Cliff, QC J0B 1C0",8431-General farm workers,2
,,Ferme Porcine JA-NI inc.,"St-David, QC J0G 1L0",8431-General farm workers,4
,,Ferme Porcine M.V inc,"Ayer's Cliff, QC J0B 1C0",8431-General farm workers,2
,,Ferme Porc-Saint senc.,"SAINT-FRANÇOIS-XAVIER-DE-BROMPTON, QC J0B 2V0",8431-General farm workers,2
,,Ferme Prés et Monts inc.,"POHÉNÉGAMOOK, QC G0L 1J0",8431-General farm workers,1
,,Ferme Provetaz Inc,"COMPTON, QC J0B 1L0",8431-General farm workers,2
,,FERME PUMARD INC,"ST-EUGÈNE, QC J0C 1J0",8431-General farm workers,1
,,Ferme R et M Mercier inc.,"SAINT-CHARLES, QC G0R 2T0",8431-General farm workers,1
,,Ferme R. & L. Duval et fils inc.,"Ste-Brigitte-des-Saults, QC J0C 1E0",8431-General farm workers,2
,,Ferme R. Bordeleau inc,"Clerval, QC J0Z 1R0",8431-General farm workers,3
,,Ferme R. Kundert inc.,"Bécancour, QC G9H 4E6",8431-General farm workers,1
,,FERME R.D.S. INC.,"Saint-Flavien, QC G0S 2M0",8431-General farm workers,4
,,Ferme Racine et Fils SENC,"Dunham, QC J0E 1M0",8431-General farm workers,5
,,Ferme Raymond & Fils inc.,"Rivière-du-Loup, QC G5R 5M3",8431-General farm workers,1
,,Ferme Raymond Meunier & fils S.E.N.C.,"Richelieu, QC J3L 6R3",8431-General farm workers,2
,,Ferme Réalité Senc.,"Cap-Saint-Ignace, QC G0R 1H0",8431-General farm workers,1
,,Ferme Remano inc.,"ST-FLAVIEN, QC G0S 2M0",8431-General farm workers,1
,,Ferme Rémillard et Tisseur Inc.,"St-Michel, QC J0L 2J0",8431-General farm workers,4
,,Ferme René Perreault Inc.,"Ste-Anne-de-la-Pérade, QC G0X 2J0",8431-General farm workers,2
,,Ferme Rhetaise Inc.,"Nicolet, QC J3T 1T5",8431-General farm workers,6
,,Ferme Richard Cammaert Inc.,"LANORAIE, QC J0K 1E0",8431-General farm workers,6
,,Ferme Richard Desmarais & Filles Inc.,"Notre-Dame-de-Lourdes, QC J0K 1K0",8431-General farm workers,8
,,Ferme Riviera Poirier inc.,"Sainte-Élisabeth, QC J0K 2J0",8431-General farm workers,1
,,Ferme RJD Lapalme Inc.,"Upton, QC J0H 2E0",8431-General farm workers,2
,,Ferme Robec inc.,"MONT ST-GRÉGOIRE, QC J0J 1K0",8431-General farm workers,2
,,Ferme Rochalain Inc.,"St-Albert, QC J0A 1E0",8431-General farm workers,5
,,Ferme Roneau inc.,"ST-JEAN-PORT-JOLI, QC G0R 3G0",8431-General farm workers,1
,,Ferme Roua inc.,"St-Jean-sur-Richelieu, QC J2Y 1H6",8431-General farm workers,1
,,Ferme Roulante 1999 inc,"Tingwick, QC J0A 1L0",8431-General farm workers,5
,,Ferme Roxsam inc.,"ST-LAMBERT-DE-LAUZON, QC G0S 2W0",8431-General farm workers,2
,,Ferme Royala Inc.,"ST-JOSEPH-DE-BEAUCE, QC G0S 2V0",8431-General farm workers,1
,,Ferme Royaula enr.,"Tring-Jonction, QC G0N 1X0",8431-General farm workers,2
,,Ferme Roytech inc,"St-Joseph, QC G0S 2V0",8431-General farm workers,1
,,Ferme RS Boulais Inc,"SABREVOIS, QC J0J 2G0",8431-General farm workers,1
,,Ferme Rubis sur l'eau senc.,"Sainte-Sophie d'Halifax, QC G0P 1L0",8431-General farm workers,4
,,Ferme Ruisseau Clair Inc,"NORMANDIN, QC G8M 4N8",8431-General farm workers,1
,,Ferme S.C.H. Inc.,"Saint-Charles-sur-Richelieu, QC J0H 2G0",8431-General farm workers,2
,,Ferme Saniben inc.,"St-François-de-la-Rivière-sud, QC G0R 3A0",8431-General farm workers,3
,,Ferme Si-An-Ol 2017 Inc.,"Ste-Sophie-de-Lévrard, QC G0X 3C0",8431-General farm workers,2
,,,,8432-Nursery and greenhouse workers,1
,,Ferme Sofia inc.,"Saint-Joseph-de-Kamouraska, QC G0L 3P0",8431-General farm workers,1
,,Ferme Son'y inc.,"Val Joli, QC J1S 0G2",8431-General farm workers,1
,,Ferme Stéfalait,"ST-SYLVÈRE, QC G0Z 1H0",8431-General farm workers,1
,,Ferme St-Élie,"Sherbrooke, QC J1L 2L3",8431-General farm workers,9
,,Ferme Stéphane Wolfe Inc.,"St-Jacques, QC J0K 2R0",8431-General farm workers,1
,,Ferme Ste-Sophie Inc.,"Ste-Sophie-de-Levrard, QC G0X 3C0",8431-General farm workers,3
,,Ferme Stirnimann Ltée,"Ste-Edwidge de Clifton, QC J0B 2R0",8431-General farm workers,2
,,Ferme St-Justin S.E.N.C.,"Joliette, QC J6E 2L6",8431-General farm workers,1
,,Ferme St-Ours Inc.,"St-Ours, QC J0G 1P0",8431-General farm workers,4
,,Ferme Strebel Et Fils Inc.,"Saint-Blaise-sur-Richelieu, QC J0J 1W0",8431-General farm workers,1
,,Ferme Sudri Inc,"Rivière-Ouelle, QC G0L 2C0",8431-General farm workers,1
,,Ferme Sylcou Enr,"SAINT-LEON-LE-GRAND, QC J0K 2W0",8431-General farm workers,1
,,Ferme Sylgo senc,"Saint-Raphaël, QC G0R 4C0",8431-General farm workers,1
,,Ferme Sylvain et Pascal Vincent Inc.,"Franklin, QC J0S 1E0",8431-General farm workers,1
,,Ferme Tétreault et fils du Richelieu inc.,"St-Mathias, QC J3L 6C2",8431-General farm workers,2
,,Ferme Tolhurst Inc,"Howick, QC J0S 1G0",8431-General farm workers,2
,,Ferme Turcotte et Fils Senc.,"St-Bruno (Lac St-Jean), QC G0W 2L0",8431-General farm workers,1
,,Ferme U. Grégoire et Fils Inc.,"Saint-Blaise-sur-Richelieu, QC J0J 1W0",8431-General farm workers,1
,,FERME UNIK INC.,"FARNHAM, QC J2N 2N4",8431-General farm workers,2
,,Ferme Vallardière Inc,"DESCHAMBAULT-GRONDINES, QC G0A 1S0",8431-General farm workers,1
,,Ferme Vertulait 2006 inc.,"WARWICK, QC J0A 1M0",8431-General farm workers,1
,,Ferme Vianney et Marguerite Turcot Inc.,"St-André Avellin, QC J0V 1W0",8431-General farm workers,4
,,Ferme Vie-Belle Inc.,"Matane, QC G4W 9G8",8431-General farm workers,1
,,Ferme YM Lacasse senc,"Rouyn-Noranda, QC J0Z 1S0",8431-General farm workers,2
,,Ferme Yves Croteau & fils inc.,"Upton, QC J0H 2E0",8431-General farm workers,2
,,FERME YVES LACOSTE & FILS INC,"Upton, QC J0H 2E0",8431-General farm workers,2
,,Fermes Denis Lauzon & Fils Inc.,"St-Eustache, QC J7R 0G4",8431-General farm workers,12
,,Fermes Gasser Ltee,"PIKE RIVER, QC J0J 1P0",8431-General farm workers,1
,,Fermes J.N. Beauchemin & Fils Inc.,"Saint-Ours, QC J0G 1P0",8431-General farm workers,4
,,Fermes Trudeau Inc.,"St-Mathieu-de-Beloeil, QC J3G 0E3",8431-General farm workers,8
,,Fraisière Beaurivage,"St-Samuel, QC G0Z 1G0",8431-General farm workers,1
,,G Ouimet et Fils Inc,"Laval, QC H7E 4P2",8431-General farm workers,21
,,G&P HORTICULTEURS INC,"Lacolle, QC J0J 1J0",8431-General farm workers,3
,,Gestion G.R.Y.N. Gilbert Inc,"Ste-Clotilde, QC G0N 1C0",8432-Nursery and greenhouse workers,18
,,Gestion SMZ Inc.,"ST-UBALDE, QC G0A 4L0",8431-General farm workers,2
,,Groupe Ataca inc.,"Lévis, QC G6V 8V6",8431-General farm workers,5
,,Groupe Fleurineau inc,"Laval, QC H7X 4A8",8431-General farm workers,4
,,Groupe Rouge et Or SENC,"Sainte-Sophie-d'Halifax, QC G0P 1L0",8431-General farm workers,3
,,Hydroserre Inc.,"Mirabel, QC J7N 2H4",8432-Nursery and greenhouse workers,24
,,Intermiel Inc.,"Mirabel, QC J7N 3M3",8431-General farm workers,43
,,Isabelle Inc.,"St-Michel, QC J0L 2J0",8431-General farm workers,5
,,J. + L. Faille Senc.,"Franklin, QC J0S 1E0",8431-General farm workers,32
,,J. M. Lacroix et Fils inc.,"Laval, QC H7R 6E8",8432-Nursery and greenhouse workers,26
,,J.J. Croteau Inc.,"Saint-Fortunat, QC G0P 1G0",8432-Nursery and greenhouse workers,2
,,Jacques et Ginette Trépanier et Fils senc.,"Papineauville, QC J0V 1R0",8431-General farm workers,1
,,Jardin Zotic Inc,"St-Rémi, QC J0L 2L0",8432-Nursery and greenhouse workers,8
,,Jardinier Huard Inc.,"Saint-Joseph, QC G0S 2V0",8431-General farm workers,4
,,Jardinier Rolland Legault & fils Inc.,"Côteau-du-Lac, QC J0P 1B0",8431-General farm workers,16
,,JARDINS PAQUETTE INC,"Sutton, QC J0E 2K0",8432-Nursery and greenhouse workers,18
,,Jardins Purdélys inc.,"St-Isidore, QC J0L 2A0",8431-General farm workers,71
,,Kildare I Inc.,"St-Ambroise-de-Kildare, QC J0K 1C0",8431-General farm workers,1
,,La Cannebergière SENC,"Laurierville, QC G0S 1P0",8431-General farm workers,5
,,La compagnie d'arbres Patrick F. Downey inc.,"Sherbrooke, QC J1M 1Z3",8432-Nursery and greenhouse workers,10
,,La Ferme Bryhill inc.,"ORMSTOWN, QC J0S 1K0",8431-General farm workers,2
,,La Ferme Côte d'Or inc.,"Saint-Éloi, QC G0L 2V0",8431-General farm workers,1
,,La Ferme du Platon Inc.,"Sainte-Croix, QC G0S 2H0",8431-General farm workers,4
,,La Ferme Grover Inc.,"Laval, QC H7X 4G2",8432-Nursery and greenhouse workers,44
,,La Ferme Pellerat (1997) inc.,"ST-ROCH-DES-AULNAIES, QC G0R 4E0",8431-General farm workers,3
,,La Ferme Pelletier et Fils 1997 inc.,"ST-ROCH-DES-AULNAIES, QC G0R 4E0",8431-General farm workers,1
,,La Ferme Pittet Inc,"St-Tite, QC G0X 3H0",8431-General farm workers,1
,,La Ferme Robrimont SENC,"SAINT-PIERRE-DE-LA-RIVIÈRE-DU-SUD, QC G0R 4B0",8431-General farm workers,1
,,La Frissonnante inc.,"Danville, QC J0A 1A0",8432-Nursery and greenhouse workers,12
,,La Fruiteraie de la Famille Gadbois senc,"Rougemont, QC J0L 1M0",8431-General farm workers,5
,,La Jardinerie Fernand Fortier Inc,"Princeville, QC G6L 4K6",8432-Nursery and greenhouse workers,24
,,La Légumière Y.C. Inc.,"St-Rémi, QC J0L 2L0",8431-General farm workers,65
,,La Plantation du Pinacle inc,"Coaticook, QC J1A 2S8",8432-Nursery and greenhouse workers,16
,,La Pomme de Terre Lanaudoise Inc.,"JOLIETTE, QC J6E 0L1",8431-General farm workers,2
,,La Récolte des Cantons,"Bromont, QC J2L 2Z9",8431-General farm workers,2
,,La Suisse Normande inc,"ST-ROCH-OUEST, QC J0K 3H0",8431-General farm workers,2
,,Le Fief de la Rivière SENC,"Bécancour, QC G9H 1M8",8431-General farm workers,2
,,Le Jardin d'Augustin inc.,"Mirabel, QC J7N 2C8",8432-Nursery and greenhouse workers,3
,,Le Maraîcher de Batiscan,"batiscan, QC G0X 1A0",8431-General farm workers,10
,,L'Érablière aux 4 Saisons Inc.,"SAINT-UBALDE, QC G0A 4L0",8431-General farm workers,4
,,Les 5 Zef Inc.,"SAINT-BASILE, QC G0A 3G0",8431-General farm workers,3
,,Les Atocas de l'Érable Inc.,"Plessisville, QC G6L 1R6",8431-General farm workers,10
,,Les Canneberges des Deux Rivières SENC,"Sainte-Sophie d'Halifax, QC G0P 1L0",8431-General farm workers,2
,,Les Canneberges Dion inc.,"St-Cyrille-de-Wendover, QC J1Z 1K3",8431-General farm workers,3
,,Les Canneberges d'Or 2007 inc.,"Manseau, QC G0X 1V0",8431-General farm workers,4
,,Les Canneberges du Roy inc.,"victoriaville, QC G6T 1T7",8431-General farm workers,5
,,Les Cultures De Chez Nous inc.,"Sainte-Brigitte-des-Saults, QC J0C 1E0",8431-General farm workers,8
,,Les Cultures du Castor inc.,"LECLERCVILLE, QC G0S 2K0",8431-General farm workers,1
,,Les Cultures Fortin inc.,"Saint-Patrice-de-Beaurivage, QC G0S 1B0",8431-General farm workers,12
,,Les élevages Baillargeon inc,"Ange-Gardien, QC J0E 1E0",8431-General farm workers,1
,,Les Élevages Charbonneau Inc.,"Saint-Louis, QC J0G 1K0",8431-General farm workers,4
,,Les Élevages Després Inc.,"SAINT-PASCAL, QC G0L 3Y0",8431-General farm workers,1
,,LES ÉLEVAGES DU 6 INC.,"Stoke, QC J0B 3G0",8431-General farm workers,2
,,Les Elevages Lessard inc.,"St-Fréderic, QC G0N 1P0",8431-General farm workers,1
,,Les Élevages Viens inc.,"Ayer's Cliff, QC J0B 1C0",8431-General farm workers,3
,,Les Entreprises Agri-Choux Inc,"Brownsburg-Chatham, QC J8G 1M2",8431-General farm workers,5
,,Les Entreprises Agricoles André Desroches Inc.,"Abercorn, QC J0E 1B0",8431-General farm workers,4
,,Les entreprises agricoles Lacombe Inc.,"Ste-Madeleine, QC J0H 1S0",8431-General farm workers,1
,,Les Entreprises Downey & Roberge Inc.,"Cookshire-Eaton, QC J0B 1M0",8432-Nursery and greenhouse workers,6
,,Les Entreprises G.M. Benoit inc.,"Ste-Brigitte-des-Saults, QC J0C 1E0",8431-General farm workers,2
,,Les Entreprises Jacques Beloin inc.,"East Hereford, QC J0B 1S0",8432-Nursery and greenhouse workers,3
,,Les Entreprises Lirane inc.,"Inverness, QC G0S 1K0",8431-General farm workers,1
,,Les Entreprises Normand Tellier inc.,"St-Félix-de-Valois, QC J0K 2M0",8432-Nursery and greenhouse workers,9
,,Les Entreprises Pitre inc.,"Mont-Laurier, QC J9L 3G5",8431-General farm workers,1
,,Les Entreprises Robert Charette Inc,"St-Gabriel de Brandon, QC J0K 2N0",8431-General farm workers,15
,,Les entreprises Serge Cantin inc.,"St-Christophe-d'Arthabaska, QC G6R 0S1",8431-General farm workers,10
,,Les Fermes  Hotte & Van Winden Inc.,"Napierville, QC J0J 1L0",8431-General farm workers,64
,,Les Fermes Boisvert (2007) inc.,"l'Avenir, QC J0C 1B0",8431-General farm workers,5
,,Les Fermes Cotopierre Inc.,"RIMOUSKI, QC G5N 1W9",8431-General farm workers,1
,,Les Fermes Élio Notaro & fils inc.,"Sherrington, QC J0L 2N0",8431-General farm workers,12
,,,,8432-Nursery and greenhouse workers,20
,,Les Fermes Gilles Roy & Fils Ltée,"Mercier, QC J6R 2L1",8431-General farm workers,5
,,Les Fermes Horticoles LMR inc.,"St-Liguori, QC J0K 2X0",8431-General farm workers,12
,,Les Fermes Ignazio Notaro et Fils Inc.,"Sherrington, QC J0L 2N0",8431-General farm workers,12
,,Les Fermes Majalyn Inc,"St-Lin Laurentides, QC J5M 1Y5",8431-General farm workers,2
,,Les Fermes R.R. Et Fils Inc.,"St-Michel, QC J0L 2J0",8431-General farm workers,3
,,Les Fermes Serbi Inc.,"St-Eustache, QC J7R 4K3",8431-General farm workers,30
,,Les Fermes V. Forino & Fils Inc,"Sherrington, QC J0L 2N0",8431-General farm workers,8
,,Les Fines herbes de Chez-Nous inc.,"St-Mathieu-de-Beloeil, QC J3G 0E3",8431-General farm workers,14
,,Les Gourmets d'Amérique inc,"Rougemont, QC J0L 1M0",8431-General farm workers,3
,,LES IMMEUBLES CLÉMENT DUBOIS INC.(Simmental 700 inc.),"Lévis, QC G6V 6E1",8431-General farm workers,1
,,Les Jardiniers Idéal Ltée,"St-Michel, QC J0L 2J0",8431-General farm workers,25
,,Les Jardins Cérès (9142-8854 Qc Inc.),"Yamachiche, QC G0X 3L0",8431-General farm workers,11
,,Les Jardins Claude et Louisa inc.,"St-Damase, QC J0H 1J0",8431-General farm workers,16
,,Les Jardins D'Ambroise inc.,"St-Ambroise-de-Kildare, QC J0K 1C0",8431-General farm workers,8
,,Les Jardins du Petit Tremble Enr.,"St-Antoine-Sur-Richelieu, QC J0L 1R0",8431-General farm workers,3
,,Les jardins G & R Ltée,"St-Lin-Laurentides, QC J5M 2N1",8431-General farm workers,26
,,Les Jardins IEC Dubuc Inc.,"St-Édouard, QC J0L 1Y0",8431-General farm workers,5
,,Les Jardins Legault Fournel SENC,"Laval, QC H7E 4P2",8431-General farm workers,4
,,Les Jardins Vegibec inc.,"Oka, QC J0N 1E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,97
,,Les Jardins WG Charlebois Inc.,"Valleyfield, QC J6S 2W8",8432-Nursery and greenhouse workers,3
,,Les Maraichers MG inc.,"St-Lin-Laurentides, QC J5M 2A2",8431-General farm workers,2
,,Les Maraichers P.Y. Cousineau senc,"St-Eustache, QC J7R 4K3",8431-General farm workers,8
,,Les Patates Turcot Inc.,"Saint-Lin-Laurentides, QC J5M 2A1",8431-General farm workers,5
,,Les Pépinières Jasmin Ltée,"Montréal, QC H4R 1C7",8431-General farm workers,6
,,Les Porcs Marineau Inc,"Lyster, QC G0S 1V0",8431-General farm workers,1
,,Les Porgreg Inc.,"Saint-Hyacinthe, QC J2R 2A6",8431-General farm workers,2
,,Les Productions Horticoles Demers Inc.,"Lévis, QC G7A 0R7",8431-General farm workers,3
,,Les Productions Margiric Inc.,"Laval, QC H7J 1A3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",12
,,,,8431-General farm workers,257
,,Les Produits Forino Inc.,"Ste-Clotilde, QC J0L 1W0",8431-General farm workers,2
,,,,8611-Harvesting labourers,9
,,Les Récoltes Hervieux inc,"L'Assomption, QC J5W 1Z8",8431-General farm workers,4
,,Les Serres Belle Saison inc.,"Lévis, QC G7A 4W6",8432-Nursery and greenhouse workers,2
,,Les Serres Biologico Inc.,"Ste-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,9
,,Les Serres Dauphinais St-Hubert inc,"Longueuil, QC J3Y 5K2",8432-Nursery and greenhouse workers,4
,,Les Serres Demers Inc.,"Lévis, QC G7A 0R7",8432-Nursery and greenhouse workers,14
,,Les Serres Frank Zyromski inc,"Rivière-Rouge, QC J0T 1T0",8432-Nursery and greenhouse workers,6
,,Les Serres Gallichan Ltée,"Gallichan, QC J0Z 2B0",8432-Nursery and greenhouse workers,4
,,Les Serres J.C. Lauzon & Ass. S.E.N.C.,"St-Eustache, QC J7R 0G3",8431-General farm workers,4
,,Les Serres Jacques Barbe inc.,"St-Eustache, QC J7R 4R7",8432-Nursery and greenhouse workers,42
,,Les Serres Lamarche S.E.N.C,"COMPTON, QC J0B 1L0",8431-General farm workers,2
,,Les Serres Lefort inc.,"Ste-Clotilde, QC J0L 1W0",8431-General farm workers,1
,,,,8432-Nursery and greenhouse workers,171
,,Les Serres Maedler (89) Inc.,"NOYAN, QC J0J 1B0",8432-Nursery and greenhouse workers,4
,,Les Serres Mario et Dominic Lacroix inc.,"Laval, QC H7R 6E8",8432-Nursery and greenhouse workers,7
,,Les Serres Mirabel Inc.,"Mirabel, QC J7N 2A9",8432-Nursery and greenhouse workers,29
,,Les Serres P. Locas Inc.,"Mirabel, QC J7N 2B4",8432-Nursery and greenhouse workers,7
,,Les Serres Paul Lavoie Enr.,"Laval, QC H7H 3C6",8432-Nursery and greenhouse workers,3
,,Les Serres René Fontaine inc,"Pierreville, QC J0G 1J0",8432-Nursery and greenhouse workers,3
,,Les Serres Riel Inc.,"St-Rémi, QC J0L 2L0",8432-Nursery and greenhouse workers,17
,,Les Serres Rosaire Pion & Fils inc,"St-Hyacinthe, QC J2S 9A8",8432-Nursery and greenhouse workers,30
,,Les Serres S. Benoît inc.,"St-Isidore, QC J0L 2A0",8431-General farm workers,3
,,Les Serres Sagami Charlevoix inc,"Ste-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,18
,,Les Serres Sagami Inc.,"Ste-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,5
,,Les Serres Sagami Saguenay Inc.,"Sainte-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,2
,,Les Serres Sagami St-Janvier inc.,"Ste-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,10
,,Les Serres Savoura Danville inc,"Sainte-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,1
,,Les Serres Savoura Portneuf Inc.,"Sainte-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,5
,,Les Serres Savoura St-Etienne Inc.,"Sainte-Sophie, QC J5J 2V3","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,,,8432-Nursery and greenhouse workers,5
,,Les Serres Sylvain Cléroux (Québec) inc.,"Laval, QC H7X 4A8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8432-Nursery and greenhouse workers,88
,,Les Serres Thierry Othon Inc.,"Mirabel, QC J7N 2Z9",8432-Nursery and greenhouse workers,3
,,Les Serres Y.G. Pinsonneault inc.,"Saint-Rémi, QC J0L 2L0",8432-Nursery and greenhouse workers,8
,,Les Terres Maraîchères Norvie Inc.,"SAINT-ÉTIENNE-DES-GRÈS, QC G0X 2P0",8431-General farm workers,9
,,Les Vergers Jude Dumoulin et fils Senc,"St-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,2
,,Les Vergers McKenzie inc.,"St-Antoine Abbé, QC J0S 1N0",8431-General farm workers,14
,,Les Vergers Petit et Fils Inc.(9146-2275 Québec Inc.),"Mont-Saint-Hilaire, QC J3G 4S3",8431-General farm workers,5
,,Maraîchers Bec Sucré Inc.,"St-Isidore, QC J0L 2A0",8431-General farm workers,18
,,Mas & Fils Jardiniers Ltée,"St-Michel, QC J0L 2J0",8431-General farm workers,4
,,Massicotte Holstein Inc.,"Champlain, QC G0X 1C0",8431-General farm workers,1
,,Maxi-Sol Inc.,"Saint-Paul, QC J0K 3E0",8431-General farm workers,5
,,Méloporc Inc.,"Saint-Paul, QC J0K 3E0",8431-General farm workers,3
,,Miel Gaudreau Inc.,"SAINT-ROCH-DE-L'ACHIGAN, QC J0K 3H0",8431-General farm workers,2
,,Nature Canneberge inc.,"Sainte-Sophie-d'Halifax, QC G0P 1L0",8431-General farm workers,13
,,Noël Wilson inc.,"St-Rémi, QC J0L 2L0",8432-Nursery and greenhouse workers,48
,,P.M. Guinois Inc.,"St-Jacques-le-Mineur, QC J0J 1Z0",8431-General farm workers,6
,,Palmex Inc.,"Marieville, QC J3M 1E8",8431-General farm workers,4
,,Pampev Inc.,"QUÉBEC, QC G1V 1W5",8431-General farm workers,12
,,Paradis des Fruits Dunham Inc.,"Dunham, QC J0E 1M0",8431-General farm workers,6
,,Passion Canneberges SENC,"Laurierville, QC G0S 1P0",8431-General farm workers,6
,,Patates Dolbec Inc,"ST-UBALDE, QC G0A 4L0",8611-Harvesting labourers,3
,,Patoine et Frères inc,"Fortierville, QC G0S 1J0",8431-General farm workers,4
,,Pépinière aux Arbres Fruitiers inc.,"RAWDON, QC J0K 1S0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
